Category,Header,Copy Content
LITTLE CHICKS KIDS MEALS,French Toast Sticks,Four french toast sticks with your choice of two sides and a drink.
LITTLE CHICKS KIDS MEALS,Pancake,A Mickey Mouse-shaped pancake with your choice of two sides and a drink.
LITTLE CHICKS KIDS MEALS,Chicken Strips (2),Two chicken strips with your choice of two sides and a drink.
LITTLE CHICKS KIDS MEALS,Cheeseburger,Made-to-order cheeseburger with your choice of two sides and a drink.
LITTLE CHICKS KIDS MEALS,Eggs (Any Style),Hand-cracked eggs with your choice of two sides and a drink.
LITTLE CHICKS KIDS MEALS,1/2 Grilled Cheese,Made-to-order grilled cheese sandwich with your choice of two sides and a drink.
