Category,Item Name,Range,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g),,
Beverages,Cranberry Juice (Glass),,170,0,0,0,0,0,10,42,0,42,0,,
Beverages,Champagne Bottle,,680,0,0,0,0,0,0,42,0,23,0,,
Beverages,Champagne Glass (12 oz),,240,0,0,0,0,0,0,15,0,8,0,,
Beverages,Mimosa,,230,0,0,0,0,0,0,20,0,13,1,,
Beverages,Hibiscus Mimosa,,230,0,0,0,0,0,0,20,0,14,1,,
Beverages,Pomegranate Mimosa,,230,0,0,0,0,0,5,21,0,15,1,,
Beverages,Mimosa Flight,,390,0,0,0,0,0,5,37,1,26,1,,
Beverages,Heineken Beer,,150,0,0,0,0,0,0,11,0,0,0,,
Beverages,Bud Light Beer,,110,0,0,0,0,0,0,7,0,0,1,,
Beverages,Budweiser Beer,,150,0,0,0,0,0,0,11,0,0,1,,
Beverages,Corona Beer,,150,0,0,0,0,0,0,14,0,0,0,,
Beverages,Pacifico Beer,,140,0,0,0,0,0,0,14,0,0,1,,
Beverages,BYC Bloody Mary,,150,35,4,1,0,5,1600,10,2,5,2,,
Beverages,Bloody Caesar,,130,10,1,0,0,0,2120,11,0,9,1,,
Beverages,Bloody Maria,,130,10,1,0,0,0,1530,12,2,7,1,,
Beverages,Red Snapper,,130,10,1,0,0,0,880,13,3,6,2,,
Beverages,Bloody Mary Flight,,280,20,2,"0,5",0,5,3400,27,3,17,4,,
Beverages,Hot Tea,,0,0,0,0,0,0,5,1,0,0,0,,
Beverages,Hot Cocoa,,310,100,11,7,0,20,170,48,1,42,1,,
Beverages,Milk 2%,,240,90,10,6,0,40,230,23,0,23,16,,
Beverages,Pepsi,,150,0,0,0,0,0,30,41,0,41,0,,
Beverages,Diet Pepsi,,0,0,0,0,0,0,55,0,0,0,0,,
Beverages,Dr. Pepper,,240,0,0,0,0,0,75,66,0,64,0,,
Beverages,Sierra Mist,,150,0,0,0,0,0,35,41,0,41,0,,
Beverages,Brisk Raspberry Iced Tea,,80,0,0,0,0,0,45,20,0,20,0,,
Beverages,Mountain Dew,,160,0,0,0,0,0,50,44,0,44,0,,
Beverages,Unsweetened Iced Tea,,5,0,0,0,0,0,15,1,0,0,0,,
Beverages,Arnold Palmer Iced Tea,,130,0,0,0,0,0,20,34,0,29,0,,
Beverages,Strawberry Banana Smoothie,,220,10,1,0,0,0,30,55,5,38,4,,
Beverages,Blueberry Banana Smoothie,,140,10,1,0,0,0,35,31,3,20,3,,
Coffee Bar,Coffee,,0,0,0,0,0,0,0,0,0,0,0,,
Coffee Bar,Cold Brew,,0,0,0,0,0,0,0,0,0,0,0,,
Coffee Bar,Espresso,,5,0,0,0,0,0,10,1,0,0,0,,
Coffee Bar,Espresso Shot,,5,0,0,0,0,0,10,1,0,0,0,,
Coffee Bar,Cappuccino (Hot/Iced),,35,10,"1,5",1,0,5,35,4,0,3,2,,
Coffee Bar,Caffe Latte (Hot/Iced),,110,35,4,"2,5",0,15,110,11,0,10,7,,
Coffee Bar,Mocha Latte (Hot/Iced),,190,35,4,"2,5",0,15,115,35,2,29,6,,
Coffee Bar,Messy Caramel Latte (Hot/Iced),,420,90,10,5,0,45,180,73,0,58,5,,
Coffee Bar,Vanilla Syrup,,80,0,0,0,0,0,45,20,0,20,0,,
Coffee Bar,Vanilla Syrup (Sugar Free),,0,0,0,0,0,0,0,0,0,0,0,,
Coffee Bar,Caramel Syrup,,80,0,0,0,0,0,15,20,0,19,0,,
Coffee Bar,Caramel Syrup (Sugar Free),,0,0,0,0,0,0,0,1,0,0,0,,
Coffee Bar,Hazelnut Syrup,,80,0,0,0,0,0,0,19,0,19,0,,
Coffee Bar,Hazelnut Syrup (Sugar Free),,0,0,0,0,0,0,0,0,0,0,0,,
Coffee Bar,Matcha Latte,,290,100,11,9,0,20,210,41,0,37,9,,
Coffee Bar,Chai Latte,,130,20,"2,5","1,5",0,10,60,24,0,22,4,,
Sides,Just Eggs - Scrambled or Fried,,170,110,12,5,0,370,140,1,0,0,13,,
Sides,Just Eggs - Boiled or Poached,,140,90,10,3,0,370,140,1,0,0,13,,
Sides,Egg Whites (2),,60,25,3,25,0,0,110,0,0,0,7,,
Sides,Bacon (3),,90,70,8,3,0,15,200,0,0,0,3,,
Sides,Turkey Bacon (3),,150,80,9,3,0,75,720,0,0,0,15,,
Sides,Applewood Smoked Bacon (3),,90,80,9,3,0,15,200,0,0,0,3,,
Sides,Canadian Bacon,,110,50,6,3,0,45,900,0,0,0,15,,
Sides,Pork Sausage Link (3),,360,30,34,12,0,60,780,0,0,0,12,,
Sides,Pork Sausage Patty (2),,460,400,33,16,0,90,760,0,0,0,18,,
Sides,Turkey Patty Sausage (2),,180,130,14,4,0,80,560,0,0,0,14,,
Sides,Smoked Ham,,170,70,8,2,0,95,1160,0,0,0,15,,
Sides,Beef Patty,,420,250,28,11,1,140,410,0,0,0,11,,
Sides,Corned Beef Hash,,580,330,37,17,25,90,2090,36,4,3,22,,
Sides,Chicken (4 oz),,190,35,4,1,0,95,85,0,0,0,40,,
Sides,Corn Tortillas (3),,280,35,"3,5","0,5",0,0,55,57,8,1,35,,
Sides,Flour Tortillas (3),,380,90,10,"3,5",0,0,920,62,4,5,29,,
Sides,Mexican Rice,,110,15,2,0,0,0,330,21,1,1,7,,
Sides,Refried Beans,,180,35,4,"0,5",0,0,150,28,9,0,10,,
Sides,Black Beans,,130,5,"0,5",0,0,0,310,23,8,1,8,,
Sides,White Toast,,280,0,0,0,0,0,720,58,2,2,10,,
Sides,Rye Toast,,300,35,4,0,0,0,620,58,4,4,10,,
Sides,Wheat Toast,,240,20,2,0,0,0,480,48,6,6,10,,
Sides,Sourdough Toast,,300,10,1,0,0,0,540,60,2,0,12,,
Sides,Fresh Fruit,,120,5,0,0,0,0,25,30,3,25,2,,
Sides,Home Fries,,300,100,12,7,0,30,15,47,4,2,4,,
Sides,Hash Browns,,210,100,12,7,0,30,10,24,2,1,2,,
Sides,French Fries,,270,110,12,2,0,0,50,37,5,0,4,,
Sides,Sweet Potato Fries,,240,110,12,2,0,0,240,31,5,12,2,,
Sides,Buttermilk Pancake (1),,320,110,17,10,"0,5",40,540,37,1,6,5,,
Sides,Banana Pancake (1),,450,150,18,11,"0,5",40,540,71,5,25,6,,
Sides,Blueberry Pancake (1),,380,160,17,11,"0,5",40,540,53,3,18,5,,
Sides,Chocolate Chip Flavored Pancake (1),,700,340,38,23,"0,5",45,540,80,5,47,8,,
Sides,Cinnacake (1),,590,120,14,8,"0,5",5,740,111,1,72,4,,
Sides,Honey Wheat Pancake (1),,410,150,17,10,"0,5",40,670,57,3,14,3,,
Sides,Gluten Free Pancake (1),,390,170,20,10,"0,5",40,750,51,1,12,3,,
Sides,French Toast (1),,380,130,15,8,0,215,310,49,3,17,11,,
Sides,English Muffin,,120,10,1,0,0,0,240,24,1,1,5,,
Sides,Blueberry Muffin,,480,200,23,"3,5",0,50,400,62,1,35,4,,
Sides,Biscuit,,470,140,15,5,0,5,1470,72,0,10,12,,
Sides,Avocado (1/2),,160,130,15,2,0,0,5,9,7,1,2,,
Sides,Onion Rings (Unseasoned),,420,190,22,4,0,0,890,40,3,6,6,,
Sides,Butter (2 oz),,140,140,20,10,1,41,0,0,0,0,0,,
Sides,Balsamic Dressing (2 oz),,180,160,18,3,0,0,700,6,0,4,0,,
Sides,Blue Cheese Dressing (2 oz),,280,250,28,5,0,30,820,2,0,2,2,,
Sides,Caesar Dressing (2 oz),,240,230,26,4,0,10,560,2,0,2,2,,
Sides,Honey Mustard Dressing (2 oz),,320,250,28,4,0,20,420,20,0,8,0,,
Sides,Ranch Dressing (2 oz),,280,270,30,5,0,10,440,2,0,2,0,,
Sides,Raspberry Vinaigrette (2 oz),,240,270,24,3,0,0,180,10,0,10,0,,
Sides,Thousand Island Dressing (2 oz),,300,270,30,5,0,30,440,8,0,8,0,,
Kid's Menu,Pancake,,200,20,2,1,0,0,600,42,1,7,5,,
Kid's Menu,Fresh Toast Sticks,,300,120,13,7,0,215,290,33,2,3,11,,
Kid's Menu,Chicken Strips,,400,160,18,"3,5",0,75,790,31,3,0,30,,
Kid's Menu,Cheeseburger,,480,230,26,11,"0,5",95,990,29,1,5,32,,
Kid's Menu,Sweet Potato Fries,,150,60,7,"1,5",0,0,140,19,3,7,1,,
Kid's Menu,Scrambled Egg,,100,70,8,4,0,190,70,0,0,0,6,,
Kid's Menu,Sausage,,180,150,17,6,0,30,390,0,0,0,6,,
Kid's Menu,Jr Yogurt Parfait,,270,40,45,1,0,0,105,54,4,28,6,,
Kid's Menu,Fruit,,120,5,0,0,0,0,25,30,3,25,2,,
Kid's Menu,French Fries,,220,90,10,2,0,0,40,20,4,0,4,,
Kid's Menu,Bacon,,30,25,25,1,0,5,65,0,0,0,1,,
Kid's Menu,Orange Juice,,130,5,"0,5",0,0,0,0,29,1,23,2,,
Kid's Menu,Milk 2%,,140,50,5,"3,5",0,20,130,12,0,13,9,,
Kid's Menu,Lemonade,,150,0,0,0,0,0,10,37,0,33,0,,
Kid's Menu,Jr Strawberry Banana Smoothie,,110,0,0,0,0,0,15,28,2,19,2,,
Kid's Menu,Jr Blueberry Banana Smoothie,,70,5,0,0,0,0,15,15,2,10,1,,
Kid's Menu,Apple Juice,,130,5,0,0,0,0,10,32,1,27,0,,
Kids Menu,Chicken Strips (2),,400,160,18,3.5,0,75,790,31,3,0,30,,
Kids Menu,FRENCH TOAST STICKS,,300,120,13,7,0,215,290,33,2,3,11,,
Kids Menu,Pancake,,200,20,2,1,0,0,600,42,1,7,5,,
Kids Menu,1/2 Grilled Cheese,,270,90,10,6,0,30,1040,33,1,2,12,,
Kids Menu,Cheeseburger,,480,230,26,11,0.5,95,990,29,1,5,32,,
Kids Menu,Eggs (Any Style),,100,70,8,4,0,190,70,0,0,0,6,,
Beverages,Bellini,,280,0,0,0,0,0,25,50,0,45,0,,
Beverages,Pineapple Matcha Latte,,370,110,12,12,0,0,230,65,0,57,3,3,
Beverages,Matcha Green Tea Latte,,290,100,11,9,0,20,210,41,0,37,9,,
Beverages,BYC Bloody Maria,,150,35,4,1,0,5,1600,10,2,5,2,,
Beverages,Tropical Flight,,430,0,0,0,0,0,0,48,<1,36,0,,
Beverages,Red Bull (8oz. Can),,110,0,0,0,0,0,105,29,0,26,0,,
Beverages,Red Bull Razz-Berry Rush,,160,0,0,0,0,0,105,40,0,36,0,,
Cocktails,Dreamsicle,Full Alcohol,400,60,6,3,0,25,10,58,<1,52,2,,
Cocktails,Dreamsicle,Low ABV,380,50,6,3,0,25,10,55,<1,50,2,,
Cocktails,Pucker Up Lemonade,Full Alcohol,280,0,0,0,0,0,5,30,<1,29,0,,
Cocktails,Pucker Up Lemonade,Low ABV,290,0,0,0,0,0,10,28,<1,27,0,,
Cocktails,Pomegranate Sunrise,Full Alcohol,230,0,0,0,0,0,5,25,<1,22,<1,,
Cocktails,Pomegranate Sunrise,Low ABV,170,0,0,0,0,0,5,29,<1,26,<1,,
Beverages,Bucket o' Bubbles,Low Range,1050,15,1.5,0,0,0,20,115,5,94,7,7,
Beverages,Bucket o' Bubbles,High Range,1240,15,1.5,0,0,0,70,182,<1,151,<1,,
Beverages,RedBull Mosa,,250,0,0,0,0,0,140,46,<1,40,<1,,
Beverages,Redbull Watermelon Margarita,,290,0,0,0,0,0,1230,41,0,36,0,,
Cocktails,Espresso Martini,Full Alcohol,260,45,5,3,0,<5,50,21,0,19,2,,
Cocktails,Espresso Martini,Low ABV,Low ABV,250,45,4.5,3,0,<5,45,21,0,19,2,
Beverages,Just the Bubbles,Bottle,680,0,0,0,0,0,--,42,--,23,--,,
Beverages,Just the Bubbles,Glass,240,0,0,0,0,0,--,15,--,8,--,,
Catering,Gallon Orange Juice,Per Serving,110,0,0.5,0,0,0,0,26,<1,21,2,,
Catering,Hot Chocolate,Per Serving,240,35,4,3,0,0,220,49,0,43,0,,
Catering,Coffee Tower,Per Serving,0,0,0,0,0,0,0,0,0,0,0,,
Gallon Orange Juice,BROKEN YOLK - Catering: Orange Juice (8 fl oz),1,Serving,110,0,0.5,0,0,0,0,26,<1,21,2,its per serving
Hot Chocolate Traveler,BROKEN YOLK - Catering: Hot Cocoa (8 fl oz),1,Serving,240,35,4,3,0,0,220,49,0,43,0,its per serving
