Category,Item Name,Range,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g),,
Catering - Beverages,Coffee (1 Cup),,0,0,0,0,0,0,0,0,0,0,0,,
Catering - Beverages,Cocoa Cola (12 fl oz),,140,0,0,0,0,0,50,39,0,39,0,,
Catering - Beverages,Diet Cocoa Cola (12 fl oz),,0,0,0,0,0,0,40,0,0,0,0,,
Catering - Beverages,Hot Cocoa (8 fl oz),,240,35,4,3,0,0,220,49,0,43,0,,
Catering - Beverages,Orange Juice (8 fl oz),,110,0,0,0,0,0,0,26,0,21,2,,
Catering - Beverages,Sprite (12 fl oz),,140,0,0,0,0,0,70,38,0,38,0,,
Healthy Side Up,Spicy Vegan Bowl,,900,546,61,16,0,0,1335,54,14,10,36,,
Healthy Side Up,Wellness Wrap (no sides),,550,170,19,11,0,30,1470,58,4,4,33,,
Healthy Side Up,Avocado Toast,,500,300,33,3,0,0,420,50,17,5,10,,
Healthy Side Up,Feta Avocado Toast,,660,350,389,9,0,20,750,68,18,22,16,,
Healthy Side Up,Add Two Poached Eggs,,140,90,10,3,0,370,140,1,0,0,13,,
Healthy Side Up,Steel Cut Oats,,520,170,19,2,0,0,15,78,10,34,14,,
Healthy Side Up,Acai Bowl,,650,120,13,5,0,0,230,137,13,81,6,,
Healthy Side Up,Smoke Salmon Avocado Toast,,620,260,29,6,0,60,1960,,10,4,34,,
Healthy Side Up,Berry Yogurt Parfait,,500,70,8,2,0,5,200,96,7,50,12,,
South of the Border,Huevos Rancheros (no tortillas),,650,230,26,9,0,375,990,75,16,5,30,,
South of the Border,Huevos Con Chorizo (no tortillas),,760,380,42,16,0,425,1510,53,11,3,41,,
South of the Border,Machaca (no tortillas),,750,270,30,11,0,450,1220,63,13,9,56,,
South of the Border,Chilaquiles Bowl Red Sauce & Shredded Chicken,,1680,830,92,34,0,58,1860,130,10,11,84,,
South of the Border,Chilaquiles Bowl Red Sauce & Carne Asada,,1740,920,102,39,1,590,1870,130,10,11,80,,
South of the Border,Chilaquiles Bowl Green Sauce & Shredded Chicken,,1790,830,92,34,0,580,2040,150,17,26,92,,
South of the Border,Chilaquiles Bowl Green Sauce & Carne Asada,,1850,920,102,39,1,590,2050,150,17,26,88,,
South of the Border,California Breakfast Burrito,,1480,600,67,28,0,465,2200,159,21,4,63,,
South of the Border,Fiesta Burrito,,1370,570,64,29,0,525,2080,120,16,18,76,,
South of the Border,Baja Breakfast Tacos,,1060,500,56,18,0,425,1720,96,23,5,47,,
Two Eggs,Two Eggs Plus - Scrambled or Fried,,170,110,12,5,0,370,140,1,0,0,13,,
Two Eggs,Two Eggs Plus - Boiled or Poached,,140,90,10,3,0,370,140,1,0,0,13,,
Two Eggs,Two Eggs Plus...,,143,86,10,4,0.04,372,142,0.7,0,0.4,13,,
Two Eggs,American Breakfast - Scrambled/Fried + Bacon,,260,180,20,8,0,385,340,1,0,0,16,,
Two Eggs,American Breakfast - Boiled/Poached + Bacon,,230,160,18,6,0,385,340,1,0,0,16,,
Two Eggs,American Breakfast - Scrambled/Fried + Applewood Bacon,,260,190,21,8,0,385,340,1,0,0,16,,
Two Eggs,American Breakfast - Boiled/Poached + Applewood Bacon,,230,170,19,6,0,385,340,1,0,0,16,,
Two Eggs,American Breakfast - Scrambled/Fried + Sausage Link,,530,410,46,17,0,430,920,1,0,0,25,,
Two Eggs,American Breakfast - Boiled/Poached + Sausage Link,,500,390,44,15,0,430,920,1,0,0,25,,
Two Eggs,American Breakfast - Scrambled/Fried + Sausage Patty,,630,510,56,21,0,460,900,1,0,0,31,,
Two Eggs,American Breakfast - Boiled/Poached + Sausage Patty,,600,490,54,19,0,460,900,1,0,0,31,,
Two Eggs,American Breakfast - Scrambled/Fried + Smoked Ham,,340,180,20,7,0,465,1300,1,0,0,35,,
Two Eggs,American Breakfast - Boiled/Poached + Smoked Ham,,310,160,18,5,0,465,1300,1,0,0,35,,
Two Eggs,American Breakfast - Scrambled/Fried + Canadian Bacon,,280,160,18,8,0,415,1040,1,0,0,28,,
Two Eggs,American Breakfast - Boiled/Poached + Canadian Bacon,,250,140,16,6,0,415,1040,1,0,0,28,,
Two Eggs,American Breakfast - Scrambled/Fried + Beef Patty,,590,360,40,16,1,510,550,1,0,0,53,,
Two Eggs,American Breakfast - Boiled/Poached + Beef Patty,,560,340,38,14,1,510,550,1,0,0,53,,
Two Eggs,American Breakfast - Scrambled/Fried + Corned Beef,,750,440,49,22,"2,5",460,2230,37,4,3,41,,
Two Eggs,American Breakfast - Boiled/Poached + Corned Beef,,720,420,47,20,"2,5",460,2230,37,4,3,41,,
Two Eggs,Ham Scramble,,340,180,20,8,0,470,1300,1,0,0,34,,
Two Eggs,Chicken Fried Steak & Eggs - Scrambled/Fried,,740,470,52,18,1,420,1560,41,2,1,28,,
Two Eggs,Chicken Fried Steak & Eggs - Boiled/Poached,,720,440,49,16,1,420,1560,41,1,1,28,,
Two Eggs,New York Steak & Eggs - Scrambled/Fried,,600,320,35,15,"1,5",535,250,1,0,0,64,,
Two Eggs,New York Steak & Eggs - Boiled/Poached,,570,290,32,13,"1,5",535,250,1,0,0,64,,
Breakfast Craves,Betty's Southern Biscuits & Gravy,,620,230,25,12,0,20,1980,86,0,12,16,,
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Bacon),,680,270,30,14,0,30,2110,85,0,12,18,,
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Sausage Links),,980,530,59,24,0,80,2760,85,0,12,28,,
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Sausage Patties),,1080,620,69,28,0,110,2740,85,0,12,34,,
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Chicken Strips),,780,300,32,13,0,50,2290,98,0,12,28,,
Breakfast Craves,Monte Cristo,,1440,600,67,34,0,680,2260,116,6,47,90,,
Breakfast Craves,Sun-Up Breakfast Sandwich,,780,350,39,19,0,440,2170,69,2,3,41,,
Breakfast Craves,Egg Whites (2) - Substitution,,-110,-80,-9,-3,0,-370,-30,0,0,0,-5,,
Omelet Obsession,The Mom,,530,330,36,15,0,765,450,22,7,9,30,,
Omelet Obsession,Greek,,300,180,20,12,0,30,950,8,3,3,23,,
Omelet Obsession,No Name,,770,580,65,23,0,800,810,16,8,6,37,,
Omelet Obsession,Californian,,1070,730,81,39,0,870,2260,33,5,7,51,,
,SMOKED SALMON BENEDICT,,712,401,45,19,0.8,481,1901,33,1.5,4,44,,
Omelet Obsession,The Rancher,,760,470,53,25,0,810,810,29,5,8,37,,
Omelet Obsession,Mile High,,720,460,51,25,0,850,2280,15,1,6,51,,
Omelet Obsession,El Fuego,,1110,810,91,40,0,895,2550,9,3,4,68,,
Create Your Own - Omelet,4 Egg Omelet,,350,230,26,12,0,745,280,1,0,1,25,,
Create Your Own - Omelet,4 Egg White Omelet,,130,60,7,0,0,0,215,1,0,0,14,,
Create Your Own - Omelet,Avocado (1 oz),,45,35,4,"0,5",0,0,0,2,2,0,1,,
Create Your Own - Omelet,Bell Peppers (1 oz),,10,0,0,0,0,0,0,2,0,1,0,,
Create Your Own - Omelet,Kalamata Olives (1 oz),,35,25,3,0,0,0,210,2,1,0,0,,
Create Your Own - Omelet,Tomatoes (1 oz),,5,0,0,0,0,0,0,1,0,1,0,,
Create Your Own - Omelet,Onions (1 oz),,10,0,0,0,0,0,0,2,0,1,0,,
Create Your Own - Omelet,Green Onions (1 oz),,5,0,0,0,0,0,0,2,1,1,1,,
Create Your Own - Omelet,Jalapeños (1 oz),,5,0,0,0,0,0,310,1,0,1,0,,
Create Your Own - Omelet,Potatoes (1 oz),,35,10,"1,5",1,0,5,0,5,0,0,0,,
Create Your Own - Omelet,Spinach (1 oz),,5,0,0,0,0,0,15,1,1,0,1,,
Create Your Own - Omelet,Mushrooms (1 oz),,15,0,0,0,0,0,0,1,0,1,0,,
Create Your Own - Omelet,Bacon (1 oz),,100,80,9,"3,5",0,20,230,0,0,0,4,,
Create Your Own - Omelet,Sausage (1 oz),,100,70,8,"3,5",0,25,220,0,0,0,6,,
